,courseid,wateryear,calyear,monthtrimester,datecode,scmonth,scday,scdepth,scswe,myid,mycat1,mycat2,mycon1,mycon2
1,09n02.txt,1985,NA,1,K/26 ,12,26,355.6,106.68,1,09n02.txt,12,355.6,106.68
2,09n02.txt,1987,1986,1,K/30 ,12,30,228.6,53.34,2,09n02.txt,12,228.6,53.34
3,09n02.txt,1988,1987,1,K/29 ,12,29,355.6,93.98,3,09n02.txt,12,355.6,93.98
4,09n02.txt,1989,1988,1,K/29 ,12,29,482.6,116.84,4,09n02.txt,12,482.6,116.84
5,09n02.txt,1990,1989,1,K/28 ,12,28,0,0,5,09n02.txt,12,0,0
6,09n02.txt,1991,1990,1,K/27 ,12,27,482.6,101.6,6,09n02.txt,12,482.6,101.6
7,09n02.txt,1992,1992,1,E/ST ,1,1,NA,139.7,7,09n02.txt,1,NA,139.7
8,09n02.txt,1993,1992,1,K/30 ,12,30,355.6,88.9,8,09n02.txt,12,355.6,88.9
9,09n02.txt,1994,1993,1,K/29 ,12,29,152.4,27.94,9,09n02.txt,12,152.4,27.94
10,09n02.txt,1995,1994,1,K/29 ,12,29,177.8,63.5,10,09n02.txt,12,177.8,63.5
11,09n02.txt,1996,1995,1,K/28 ,12,28,101.6,15.24,11,09n02.txt,12,101.6,15.24
12,09n02.txt,1997,1996,1,K/30 ,12,30,152.4,43.18,12,09n02.txt,12,152.4,43.18
13,09n02.txt,1998,1997,1,K/31 ,12,31,482.6,111.76,13,09n02.txt,12,482.6,111.76
14,09n02.txt,1999,1998,1,K/29 ,12,29,254,50.8,14,09n02.txt,12,254,50.8
15,09n02.txt,2000,1999,1,K/29 ,12,29,152.4,22.86,15,09n02.txt,12,152.4,22.86
16,09n02.txt,2001,2001,1,2-Jan,1,2,152.4,25.4,16,09n02.txt,1,152.4,25.4
17,09n02.txt,2002,2001,1,K/26 ,12,26,330.2,76.2,17,09n02.txt,12,330.2,76.2
18,09n02.txt,2003,2002,1,K/31 ,12,31,254,58.42,18,09n02.txt,12,254,58.42
19,09n02.txt,2004,2003,1,K/29 ,12,29,228.6,45.72,19,09n02.txt,12,228.6,45.72
20,09n02.txt,2005,2005,1,4-Jan,1,4,304.8,71.12,20,09n02.txt,1,304.8,71.12
21,09n02.txt,2006,2005,1,K/29 ,12,29,0,0,21,09n02.txt,12,0,0
22,09n02.txt,2007,2006,1,K/27 ,12,27,127,27.94,22,09n02.txt,12,127,27.94
23,09n02.txt,2008,2007,1,K/27 ,12,27,355.6,38.1,23,09n02.txt,12,355.6,38.1
24,09n02.txt,2009,2008,1,K/30 ,12,30,711.2,172.72,24,09n02.txt,12,711.2,172.72
25,09n02.txt,2010,2009,1,K/29 ,12,29,457.2,99.06,25,09n02.txt,12,457.2,99.06
26,09n02.txt,2011,2010,1,K/28 ,12,28,203.2,63.5,26,09n02.txt,12,203.2,63.5
27,09n02.txt,2012,2011,1,K/27 ,12,27,203.2,30.48,27,09n02.txt,12,203.2,30.48
28,09n02.txt,1985,1985,2,14-Jan,1,14,635,152.4,28,09n02.txt,1,635,152.4
29,09n02.txt,1986,1986,2,13-Jan,1,13,381,182.88,29,09n02.txt,1,381,182.88
30,09n02.txt,1987,1987,2,14-Jan,1,14,330.2,63.5,30,09n02.txt,1,330.2,63.5
31,09n02.txt,1988,1988,2,13-Jan,1,13,533.4,139.7,31,09n02.txt,1,533.4,139.7
32,09n02.txt,1989,1989,2,12-Jan,1,12,609.6,147.32,32,09n02.txt,1,609.6,147.32
33,09n02.txt,1990,1990,2,16-Jan,1,16,25.4,2.54,33,09n02.txt,1,25.4,2.54
34,09n02.txt,1991,1991,2,14-Jan,1,14,685.8,185.42,34,09n02.txt,1,685.8,185.42
35,09n02.txt,1992,1992,2,13-Jan,1,13,711.2,167.64,35,09n02.txt,1,711.2,167.64
36,09n02.txt,1993,1993,2,14-Jan,1,14,635,165.1,36,09n02.txt,1,635,165.1
37,09n02.txt,1994,1994,2,12-Jan,1,12,152.4,30.48,37,09n02.txt,1,152.4,30.48
38,09n02.txt,1995,1995,2,12-Jan,1,12,787.4,185.42,38,09n02.txt,1,787.4,185.42
39,09n02.txt,1996,1996,2,11-Jan,1,11,127,20.32,39,09n02.txt,1,127,20.32
40,09n02.txt,1997,1997,2,13-Jan,1,13,431.8,68.58,40,09n02.txt,1,431.8,68.58
41,09n02.txt,1998,1998,2,13-Jan,1,13,660.4,142.24,41,09n02.txt,1,660.4,142.24
42,09n02.txt,1999,1999,2,13-Jan,1,13,254,63.5,42,09n02.txt,1,254,63.5
43,09n02.txt,2000,2000,2,13-Jan,1,13,279.4,50.8,43,09n02.txt,1,279.4,50.8
44,09n02.txt,2001,2001,2,16-Jan,1,16,381,48.26,44,09n02.txt,1,381,48.26
45,09n02.txt,2002,2002,2,15-Jan,1,15,355.6,81.28,45,09n02.txt,1,355.6,81.28
46,09n02.txt,2003,2003,2,14-Jan,1,14,304.8,81.28,46,09n02.txt,1,304.8,81.28
47,09n02.txt,2004,2004,2,13-Jan,1,13,279.4,73.66,47,09n02.txt,1,279.4,73.66
48,09n02.txt,2005,2005,2,11-Jan,1,11,304.8,104.14,48,09n02.txt,1,304.8,104.14
49,09n02.txt,2006,2006,2,12-Jan,1,12,0,0,49,09n02.txt,1,0,0
50,09n02.txt,2007,2007,2,11-Jan,1,11,203.2,38.1,50,09n02.txt,1,203.2,38.1
51,09n02.txt,2008,2008,2,13-Jan,1,13,558.8,124.46,51,09n02.txt,1,558.8,124.46
52,09n02.txt,2009,2009,2,13-Jan,1,13,660.4,180.34,52,09n02.txt,1,660.4,180.34
53,09n02.txt,2011,2011,2,13-Jan,1,13,482.6,116.84,53,09n02.txt,1,482.6,116.84
54,09n02.txt,2012,2012,2,11-Jan,1,11,152.4,35.56,54,09n02.txt,1,152.4,35.56
55,09n04.txt,1987,1986,1,K/30 ,12,30,279.4,81.28,55,09n04.txt,12,279.4,81.28
56,09n04.txt,1988,1987,1,K/29 ,12,29,431.8,114.3,56,09n04.txt,12,431.8,114.3
57,09n04.txt,1989,1988,1,K/29 ,12,29,660.4,142.24,57,09n04.txt,12,660.4,142.24
58,09n04.txt,1990,1989,1,K/28 ,12,28,0,0,58,09n04.txt,12,0,0
59,09n04.txt,1991,1990,1,K/27 ,12,27,558.8,127,59,09n04.txt,12,558.8,127
60,09n04.txt,1992,1992,1,E/ST ,1,1,NA,152.4,60,09n04.txt,1,NA,152.4
61,09n04.txt,1993,1992,1,K/30 ,12,30,431.8,106.68,61,09n04.txt,12,431.8,106.68
62,09n04.txt,1994,1993,1,K/29 ,12,29,304.8,68.58,62,09n04.txt,12,304.8,68.58
63,09n04.txt,1995,1994,1,K/29 ,12,29,355.6,106.68,63,09n04.txt,12,355.6,106.68
64,09n04.txt,1996,1995,1,K/28 ,12,28,152.4,22.86,64,09n04.txt,12,152.4,22.86
65,09n04.txt,1997,1996,1,K/30 ,12,30,330.2,93.98,65,09n04.txt,12,330.2,93.98
66,09n04.txt,1998,1997,1,K/31 ,12,31,558.8,144.78,66,09n04.txt,12,558.8,144.78
67,09n04.txt,1999,1998,1,K/29 ,12,29,355.6,96.52,67,09n04.txt,12,355.6,96.52
68,09n04.txt,2000,1999,1,K/29 ,12,29,203.2,27.94,68,09n04.txt,12,203.2,27.94
69,09n04.txt,2001,2001,1,2-Jan,1,2,304.8,68.58,69,09n04.txt,1,304.8,68.58
70,09n04.txt,2002,2001,1,K/28 ,12,28,457.2,106.68,70,09n04.txt,12,457.2,106.68
71,09n04.txt,2003,2002,1,K/31 ,12,31,457.2,109.22,71,09n04.txt,12,457.2,109.22
72,09n04.txt,2004,2003,1,K/30 ,12,30,406.4,78.74,72,09n04.txt,12,406.4,78.74
73,09n04.txt,2005,2005,1,4-Jan,1,4,508,116.84,73,09n04.txt,1,508,116.84
74,09n04.txt,2006,2005,1,K/29 ,12,29,50.8,5.08,74,09n04.txt,12,50.8,5.08
75,09n04.txt,2007,2006,1,K/27 ,12,27,203.2,38.1,75,09n04.txt,12,203.2,38.1
76,09n04.txt,2008,2007,1,K/31 ,12,31,355.6,76.2,76,09n04.txt,12,355.6,76.2
77,09n04.txt,2009,2008,1,K/30 ,12,30,914.4,218.44,77,09n04.txt,12,914.4,218.44
78,09n04.txt,2011,2010,1,K/28 ,12,28,406.4,119.38,78,09n04.txt,12,406.4,119.38
79,09n04.txt,2012,2011,1,K/27 ,12,27,330.2,60.96,79,09n04.txt,12,330.2,60.96
80,09n04.txt,1986,1986,2,13-Jan,1,13,533.4,223.52,80,09n04.txt,1,533.4,223.52
81,09n04.txt,1987,1987,2,14-Jan,1,14,406.4,76.2,81,09n04.txt,1,406.4,76.2
82,09n04.txt,1988,1988,2,13-Jan,1,13,685.8,167.64,82,09n04.txt,1,685.8,167.64
